Epoch 1/60 | LR: 0.000005 | Train Acc: 0.1316 | Val F1: 0.0716 | Val Acc: 0.0848
Epoch 2/60 | LR: 0.000007 | Train Acc: 0.1427 | Val F1: 0.1035 | Val Acc: 0.1228
Epoch 3/60 | LR: 0.000010 | Train Acc: 0.1806 | Val F1: 0.1273 | Val Acc: 0.1562
Epoch 4/60 | LR: 0.000015 | Train Acc: 0.2027 | Val F1: 0.1473 | Val Acc: 0.1897
Epoch 5/60 | LR: 0.000021 | Train Acc: 0.2583 | Val F1: 0.1775 | Val Acc: 0.2299
Epoch 6/60 | LR: 0.000028 | Train Acc: 0.3218 | Val F1: 0.2199 | Val Acc: 0.2656
Epoch 7/60 | LR: 0.000036 | Train Acc: 0.3583 | Val F1: 0.2577 | Val Acc: 0.3080
Epoch 8/60 | LR: 0.000044 | Train Acc: 0.4020 | Val F1: 0.3275 | Val Acc: 0.3549
Epoch 9/60 | LR: 0.000052 | Train Acc: 0.4457 | Val F1: 0.3573 | Val Acc: 0.3906
Epoch 10/60 | LR: 0.000060 | Train Acc: 0.4732 | Val F1: 0.3690 | Val Acc: 0.4040
Epoch 11/60 | LR: 0.000069 | Train Acc: 0.5235 | Val F1: 0.3953 | Val Acc: 0.4397
Epoch 12/60 | LR: 0.000076 | Train Acc: 0.5578 | Val F1: 0.4368 | Val Acc: 0.4710
Epoch 13/60 | LR: 0.000083 | Train Acc: 0.5529 | Val F1: 0.4734 | Val Acc: 0.5223
Epoch 14/60 | LR: 0.000089 | Train Acc: 0.6065 | Val F1: 0.4760 | Val Acc: 0.5134
Epoch 15/60 | LR: 0.000094 | Train Acc: 0.6363 | Val F1: 0.5124 | Val Acc: 0.5603
Epoch 16/60 | LR: 0.000097 | Train Acc: 0.6415 | Val F1: 0.5159 | Val Acc: 0.5402
Epoch 17/60 | LR: 0.000099 | Train Acc: 0.6694 | Val F1: 0.5375 | Val Acc: 0.6027
Epoch 18/60 | LR: 0.000100 | Train Acc: 0.7020 | Val F1: 0.5271 | Val Acc: 0.5647
Epoch 19/60 | LR: 0.000100 | Train Acc: 0.6891 | Val F1: 0.5143 | Val Acc: 0.5692
Epoch 20/60 | LR: 0.000099 | Train Acc: 0.7015 | Val F1: 0.5308 | Val Acc: 0.5871
Epoch 21/60 | LR: 0.000099 | Train Acc: 0.7306 | Val F1: 0.5518 | Val Acc: 0.5960
Epoch 22/60 | LR: 0.000098 | Train Acc: 0.6753 | Val F1: 0.5709 | Val Acc: 0.6406
Epoch 23/60 | LR: 0.000097 | Train Acc: 0.7714 | Val F1: 0.5689 | Val Acc: 0.6272
Epoch 24/60 | LR: 0.000095 | Train Acc: 0.7745 | Val F1: 0.5928 | Val Acc: 0.6585
Epoch 25/60 | LR: 0.000093 | Train Acc: 0.7310 | Val F1: 0.6125 | Val Acc: 0.6674
Epoch 26/60 | LR: 0.000091 | Train Acc: 0.7448 | Val F1: 0.5762 | Val Acc: 0.6116
Epoch 27/60 | LR: 0.000089 | Train Acc: 0.7955 | Val F1: 0.6097 | Val Acc: 0.6518
Epoch 28/60 | LR: 0.000087 | Train Acc: 0.7717 | Val F1: 0.6013 | Val Acc: 0.6629
Epoch 29/60 | LR: 0.000084 | Train Acc: 0.7662 | Val F1: 0.6017 | Val Acc: 0.6540
Epoch 30/60 | LR: 0.000081 | Train Acc: 0.7658 | Val F1: 0.6033 | Val Acc: 0.6674
Epoch 31/60 | LR: 0.000078 | Train Acc: 0.7818 | Val F1: 0.5874 | Val Acc: 0.6518
Epoch 32/60 | LR: 0.000075 | Train Acc: 0.7844 | Val F1: 0.5930 | Val Acc: 0.6540
Epoch 33/60 | LR: 0.000072 | Train Acc: 0.8078 | Val F1: 0.6053 | Val Acc: 0.6607
Epoch 34/60 | LR: 0.000068 | Train Acc: 0.8276 | Val F1: 0.6296 | Val Acc: 0.6920
Epoch 35/60 | LR: 0.000065 | Train Acc: 0.7835 | Val F1: 0.6203 | Val Acc: 0.6786
