Epoch 1/50 | LR: 0.000005 | Train Acc: 0.1156 | Val F1: 0.0324 | Val Acc: 0.0848
Epoch 2/50 | LR: 0.000008 | Train Acc: 0.1076 | Val F1: 0.0448 | Val Acc: 0.1027
Epoch 3/50 | LR: 0.000013 | Train Acc: 0.1339 | Val F1: 0.0397 | Val Acc: 0.0558
Epoch 4/50 | LR: 0.000020 | Train Acc: 0.1402 | Val F1: 0.1021 | Val Acc: 0.1853
Epoch 5/50 | LR: 0.000028 | Train Acc: 0.2088 | Val F1: 0.1967 | Val Acc: 0.2879
Epoch 6/50 | LR: 0.000037 | Train Acc: 0.3230 | Val F1: 0.3335 | Val Acc: 0.3750
Epoch 7/50 | LR: 0.000047 | Train Acc: 0.3604 | Val F1: 0.4258 | Val Acc: 0.4129
Epoch 8/50 | LR: 0.000057 | Train Acc: 0.4092 | Val F1: 0.5447 | Val Acc: 0.5915
Epoch 9/50 | LR: 0.000067 | Train Acc: 0.4652 | Val F1: 0.5108 | Val Acc: 0.5692
Epoch 10/50 | LR: 0.000076 | Train Acc: 0.5488 | Val F1: 0.5216 | Val Acc: 0.5179
Epoch 11/50 | LR: 0.000084 | Train Acc: 0.5900 | Val F1: 0.5393 | Val Acc: 0.5714
Epoch 12/50 | LR: 0.000091 | Train Acc: 0.5757 | Val F1: 0.5502 | Val Acc: 0.5290
Epoch 13/50 | LR: 0.000096 | Train Acc: 0.6249 | Val F1: 0.5392 | Val Acc: 0.5625
Epoch 14/50 | LR: 0.000099 | Train Acc: 0.6668 | Val F1: 0.6260 | Val Acc: 0.6808
Epoch 15/50 | LR: 0.000100 | Train Acc: 0.6563 | Val F1: 0.6395 | Val Acc: 0.6987
Epoch 16/50 | LR: 0.000100 | Train Acc: 0.7024 | Val F1: 0.6397 | Val Acc: 0.6518
Epoch 17/50 | LR: 0.000099 | Train Acc: 0.7191 | Val F1: 0.6377 | Val Acc: 0.6540
Epoch 18/50 | LR: 0.000098 | Train Acc: 0.7353 | Val F1: 0.6520 | Val Acc: 0.7054
Epoch 19/50 | LR: 0.000097 | Train Acc: 0.7279 | Val F1: 0.6278 | Val Acc: 0.6607
Epoch 20/50 | LR: 0.000095 | Train Acc: 0.7471 | Val F1: 0.6312 | Val Acc: 0.6741
Epoch 21/50 | LR: 0.000093 | Train Acc: 0.7789 | Val F1: 0.6560 | Val Acc: 0.7076
Epoch 22/50 | LR: 0.000090 | Train Acc: 0.7206 | Val F1: 0.6467 | Val Acc: 0.6942
Epoch 23/50 | LR: 0.000088 | Train Acc: 0.8192 | Val F1: 0.6440 | Val Acc: 0.6964
Epoch 24/50 | LR: 0.000084 | Train Acc: 0.8135 | Val F1: 0.6652 | Val Acc: 0.7188
Epoch 25/50 | LR: 0.000081 | Train Acc: 0.7775 | Val F1: 0.6526 | Val Acc: 0.7031
Epoch 26/50 | LR: 0.000077 | Train Acc: 0.7778 | Val F1: 0.6421 | Val Acc: 0.6786
Epoch 27/50 | LR: 0.000074 | Train Acc: 0.8249 | Val F1: 0.6734 | Val Acc: 0.7299
Epoch 28/50 | LR: 0.000070 | Train Acc: 0.8205 | Val F1: 0.6731 | Val Acc: 0.7299
Epoch 29/50 | LR: 0.000065 | Train Acc: 0.7898 | Val F1: 0.6642 | Val Acc: 0.7165
Epoch 30/50 | LR: 0.000061 | Train Acc: 0.8021 | Val F1: 0.6728 | Val Acc: 0.7210
Epoch 31/50 | LR: 0.000057 | Train Acc: 0.8206 | Val F1: 0.6529 | Val Acc: 0.7076
Epoch 32/50 | LR: 0.000052 | Train Acc: 0.8090 | Val F1: 0.6555 | Val Acc: 0.7188
Epoch 33/50 | LR: 0.000048 | Train Acc: 0.8389 | Val F1: 0.6659 | Val Acc: 0.7143
Epoch 34/50 | LR: 0.000043 | Train Acc: 0.8644 | Val F1: 0.6873 | Val Acc: 0.7388
Epoch 35/50 | LR: 0.000039 | Train Acc: 0.7984 | Val F1: 0.6814 | Val Acc: 0.7433
Epoch 36/50 | LR: 0.000034 | Train Acc: 0.8337 | Val F1: 0.6653 | Val Acc: 0.7188
Epoch 37/50 | LR: 0.000030 | Train Acc: 0.8383 | Val F1: 0.6628 | Val Acc: 0.7232
Epoch 38/50 | LR: 0.000026 | Train Acc: 0.8146 | Val F1: 0.6574 | Val Acc: 0.7143
Epoch 39/50 | LR: 0.000022 | Train Acc: 0.8544 | Val F1: 0.6708 | Val Acc: 0.7299
Epoch 40/50 | LR: 0.000019 | Train Acc: 0.8756 | Val F1: 0.6739 | Val Acc: 0.7344
Epoch 41/50 | LR: 0.000015 | Train Acc: 0.8375 | Val F1: 0.6650 | Val Acc: 0.7254
Epoch 42/50 | LR: 0.000012 | Train Acc: 0.8599 | Val F1: 0.6925 | Val Acc: 0.7612
Epoch 43/50 | LR: 0.000010 | Train Acc: 0.8632 | Val F1: 0.6836 | Val Acc: 0.7411
Epoch 44/50 | LR: 0.000007 | Train Acc: 0.8290 | Val F1: 0.6797 | Val Acc: 0.7388
Epoch 45/50 | LR: 0.000005 | Train Acc: 0.8434 | Val F1: 0.6738 | Val Acc: 0.7277
Epoch 46/50 | LR: 0.000003 | Train Acc: 0.8426 | Val F1: 0.6780 | Val Acc: 0.7344
Epoch 47/50 | LR: 0.000002 | Train Acc: 0.8504 | Val F1: 0.6787 | Val Acc: 0.7433
Epoch 48/50 | LR: 0.000001 | Train Acc: 0.8591 | Val F1: 0.6830 | Val Acc: 0.7433
Epoch 49/50 | LR: 0.000000 | Train Acc: 0.8711 | Val F1: 0.6758 | Val Acc: 0.7344
Epoch 50/50 | LR: 0.000000 | Train Acc: 0.8018 | Val F1: 0.6909 | Val Acc: 0.7567
