Epoch 1/50 | LR: 0.000005 | Train Acc: 0.1333 | Val F1: 0.0633 | Val Acc: 0.2054
Epoch 2/50 | LR: 0.000008 | Train Acc: 0.1548 | Val F1: 0.0767 | Val Acc: 0.1607
Epoch 3/50 | LR: 0.000013 | Train Acc: 0.1880 | Val F1: 0.1047 | Val Acc: 0.2143
Epoch 4/50 | LR: 0.000020 | Train Acc: 0.2063 | Val F1: 0.0806 | Val Acc: 0.1161
Epoch 5/50 | LR: 0.000028 | Train Acc: 0.2800 | Val F1: 0.1919 | Val Acc: 0.2344
Epoch 6/50 | LR: 0.000037 | Train Acc: 0.3324 | Val F1: 0.2144 | Val Acc: 0.2299
Epoch 7/50 | LR: 0.000047 | Train Acc: 0.4008 | Val F1: 0.3212 | Val Acc: 0.3304
Epoch 8/50 | LR: 0.000057 | Train Acc: 0.4835 | Val F1: 0.4339 | Val Acc: 0.5022
Epoch 9/50 | LR: 0.000067 | Train Acc: 0.5410 | Val F1: 0.4293 | Val Acc: 0.4129
Epoch 10/50 | LR: 0.000076 | Train Acc: 0.5247 | Val F1: 0.5499 | Val Acc: 0.6161
Epoch 11/50 | LR: 0.000084 | Train Acc: 0.5864 | Val F1: 0.3786 | Val Acc: 0.3415
Epoch 12/50 | LR: 0.000091 | Train Acc: 0.6119 | Val F1: 0.4827 | Val Acc: 0.4933
Epoch 13/50 | LR: 0.000096 | Train Acc: 0.6844 | Val F1: 0.5422 | Val Acc: 0.6094
Epoch 14/50 | LR: 0.000099 | Train Acc: 0.6419 | Val F1: 0.5579 | Val Acc: 0.5446
Epoch 15/50 | LR: 0.000100 | Train Acc: 0.6612 | Val F1: 0.5027 | Val Acc: 0.4911
Epoch 16/50 | LR: 0.000100 | Train Acc: 0.6972 | Val F1: 0.5731 | Val Acc: 0.6027
Epoch 17/50 | LR: 0.000099 | Train Acc: 0.7144 | Val F1: 0.6022 | Val Acc: 0.6362
Epoch 18/50 | LR: 0.000098 | Train Acc: 0.7190 | Val F1: 0.6215 | Val Acc: 0.6518
Epoch 19/50 | LR: 0.000097 | Train Acc: 0.7506 | Val F1: 0.6127 | Val Acc: 0.6272
Epoch 20/50 | LR: 0.000095 | Train Acc: 0.7627 | Val F1: 0.6101 | Val Acc: 0.6071
Epoch 21/50 | LR: 0.000093 | Train Acc: 0.7604 | Val F1: 0.5920 | Val Acc: 0.6049
Epoch 22/50 | LR: 0.000090 | Train Acc: 0.7317 | Val F1: 0.6266 | Val Acc: 0.6317
Epoch 23/50 | LR: 0.000088 | Train Acc: 0.7366 | Val F1: 0.6376 | Val Acc: 0.6719
Epoch 24/50 | LR: 0.000084 | Train Acc: 0.7524 | Val F1: 0.6643 | Val Acc: 0.7188
Epoch 25/50 | LR: 0.000081 | Train Acc: 0.7922 | Val F1: 0.6272 | Val Acc: 0.6808
Epoch 26/50 | LR: 0.000077 | Train Acc: 0.8235 | Val F1: 0.6635 | Val Acc: 0.7076
Epoch 27/50 | LR: 0.000074 | Train Acc: 0.7600 | Val F1: 0.6740 | Val Acc: 0.7143
Epoch 28/50 | LR: 0.000070 | Train Acc: 0.7773 | Val F1: 0.6289 | Val Acc: 0.6674
Epoch 29/50 | LR: 0.000065 | Train Acc: 0.7458 | Val F1: 0.6452 | Val Acc: 0.6741
Epoch 30/50 | LR: 0.000061 | Train Acc: 0.8345 | Val F1: 0.6649 | Val Acc: 0.7232
Epoch 31/50 | LR: 0.000057 | Train Acc: 0.8156 | Val F1: 0.6956 | Val Acc: 0.7366
Epoch 32/50 | LR: 0.000052 | Train Acc: 0.8103 | Val F1: 0.6745 | Val Acc: 0.7098
Epoch 33/50 | LR: 0.000048 | Train Acc: 0.8402 | Val F1: 0.6852 | Val Acc: 0.7321
Epoch 34/50 | LR: 0.000043 | Train Acc: 0.8194 | Val F1: 0.6661 | Val Acc: 0.7232
Epoch 35/50 | LR: 0.000039 | Train Acc: 0.8363 | Val F1: 0.6675 | Val Acc: 0.7054
Epoch 36/50 | LR: 0.000034 | Train Acc: 0.7745 | Val F1: 0.6809 | Val Acc: 0.7232
Epoch 37/50 | LR: 0.000030 | Train Acc: 0.8393 | Val F1: 0.6589 | Val Acc: 0.7232
Epoch 38/50 | LR: 0.000026 | Train Acc: 0.7869 | Val F1: 0.6685 | Val Acc: 0.7232
Epoch 39/50 | LR: 0.000022 | Train Acc: 0.8050 | Val F1: 0.6599 | Val Acc: 0.7098
Epoch 40/50 | LR: 0.000019 | Train Acc: 0.8303 | Val F1: 0.6608 | Val Acc: 0.7098
Epoch 41/50 | LR: 0.000015 | Train Acc: 0.8570 | Val F1: 0.6698 | Val Acc: 0.7232
Epoch 42/50 | LR: 0.000012 | Train Acc: 0.8475 | Val F1: 0.6606 | Val Acc: 0.7232
Epoch 43/50 | LR: 0.000010 | Train Acc: 0.8524 | Val F1: 0.6828 | Val Acc: 0.7321
