Epoch 1/70 | LR: 0.000005 | Train Acc: 0.1008 | Val F1: 0.0844 | Val Acc: 0.0915
Epoch 2/70 | LR: 0.000006 | Train Acc: 0.1188 | Val F1: 0.1029 | Val Acc: 0.1071
Epoch 3/70 | LR: 0.000009 | Train Acc: 0.1497 | Val F1: 0.1309 | Val Acc: 0.1429
Epoch 4/70 | LR: 0.000012 | Train Acc: 0.1913 | Val F1: 0.1607 | Val Acc: 0.1763
Epoch 5/70 | LR: 0.000017 | Train Acc: 0.2629 | Val F1: 0.2011 | Val Acc: 0.2165
Epoch 6/70 | LR: 0.000022 | Train Acc: 0.2777 | Val F1: 0.2475 | Val Acc: 0.2612
Epoch 7/70 | LR: 0.000028 | Train Acc: 0.3066 | Val F1: 0.2949 | Val Acc: 0.3036
Epoch 8/70 | LR: 0.000035 | Train Acc: 0.4055 | Val F1: 0.3401 | Val Acc: 0.3504
Epoch 9/70 | LR: 0.000041 | Train Acc: 0.4335 | Val F1: 0.3598 | Val Acc: 0.3571
Epoch 10/70 | LR: 0.000048 | Train Acc: 0.4726 | Val F1: 0.3698 | Val Acc: 0.4085
Epoch 11/70 | LR: 0.000056 | Train Acc: 0.5280 | Val F1: 0.4090 | Val Acc: 0.4286
Epoch 12/70 | LR: 0.000063 | Train Acc: 0.5406 | Val F1: 0.3865 | Val Acc: 0.4129
Epoch 13/70 | LR: 0.000070 | Train Acc: 0.5558 | Val F1: 0.4701 | Val Acc: 0.4576
Epoch 14/70 | LR: 0.000076 | Train Acc: 0.6004 | Val F1: 0.4824 | Val Acc: 0.4978
Epoch 15/70 | LR: 0.000082 | Train Acc: 0.6654 | Val F1: 0.4880 | Val Acc: 0.5179
Epoch 16/70 | LR: 0.000087 | Train Acc: 0.6542 | Val F1: 0.5108 | Val Acc: 0.5402
Epoch 17/70 | LR: 0.000092 | Train Acc: 0.6686 | Val F1: 0.5451 | Val Acc: 0.5781
Epoch 18/70 | LR: 0.000095 | Train Acc: 0.7144 | Val F1: 0.5392 | Val Acc: 0.5580
Epoch 19/70 | LR: 0.000098 | Train Acc: 0.7294 | Val F1: 0.5984 | Val Acc: 0.6339
Epoch 20/70 | LR: 0.000099 | Train Acc: 0.7415 | Val F1: 0.5838 | Val Acc: 0.6250
Epoch 21/70 | LR: 0.000100 | Train Acc: 0.7473 | Val F1: 0.5804 | Val Acc: 0.6116
Epoch 22/70 | LR: 0.000100 | Train Acc: 0.7352 | Val F1: 0.5528 | Val Acc: 0.5714
Epoch 23/70 | LR: 0.000100 | Train Acc: 0.7712 | Val F1: 0.5857 | Val Acc: 0.6228
Epoch 24/70 | LR: 0.000099 | Train Acc: 0.7978 | Val F1: 0.5995 | Val Acc: 0.6518
Epoch 25/70 | LR: 0.000098 | Train Acc: 0.8082 | Val F1: 0.6040 | Val Acc: 0.6518
Epoch 26/70 | LR: 0.000097 | Train Acc: 0.7723 | Val F1: 0.5868 | Val Acc: 0.6406
Epoch 27/70 | LR: 0.000096 | Train Acc: 0.7892 | Val F1: 0.6073 | Val Acc: 0.6585
Epoch 28/70 | LR: 0.000095 | Train Acc: 0.7471 | Val F1: 0.5878 | Val Acc: 0.6451
Epoch 29/70 | LR: 0.000094 | Train Acc: 0.7851 | Val F1: 0.6238 | Val Acc: 0.6830
Epoch 30/70 | LR: 0.000092 | Train Acc: 0.8064 | Val F1: 0.6325 | Val Acc: 0.6875
Epoch 31/70 | LR: 0.000090 | Train Acc: 0.8199 | Val F1: 0.6016 | Val Acc: 0.6540
Epoch 32/70 | LR: 0.000088 | Train Acc: 0.8368 | Val F1: 0.6148 | Val Acc: 0.6629
Epoch 33/70 | LR: 0.000086 | Train Acc: 0.8273 | Val F1: 0.6084 | Val Acc: 0.6629
Epoch 34/70 | LR: 0.000084 | Train Acc: 0.8264 | Val F1: 0.6308 | Val Acc: 0.6763
Epoch 35/70 | LR: 0.000081 | Train Acc: 0.8223 | Val F1: 0.6145 | Val Acc: 0.6652
Epoch 36/70 | LR: 0.000079 | Train Acc: 0.8204 | Val F1: 0.6368 | Val Acc: 0.6853
