Epoch 1/70 | LR: 0.000002 | Train Acc: 0.1295 | Val F1: 0.0728 | Val Acc: 0.1897
Epoch 2/70 | LR: 0.000003 | Train Acc: 0.1237 | Val F1: 0.0588 | Val Acc: 0.1964
Epoch 3/70 | LR: 0.000004 | Train Acc: 0.1484 | Val F1: 0.1501 | Val Acc: 0.2344
Epoch 4/70 | LR: 0.000006 | Train Acc: 0.2452 | Val F1: 0.2156 | Val Acc: 0.2723
Epoch 5/70 | LR: 0.000008 | Train Acc: 0.3712 | Val F1: 0.3262 | Val Acc: 0.3929
Epoch 6/70 | LR: 0.000011 | Train Acc: 0.4374 | Val F1: 0.3649 | Val Acc: 0.3817
Epoch 7/70 | LR: 0.000014 | Train Acc: 0.5141 | Val F1: 0.4509 | Val Acc: 0.4487
Epoch 8/70 | LR: 0.000017 | Train Acc: 0.5543 | Val F1: 0.4140 | Val Acc: 0.4308
Epoch 9/70 | LR: 0.000021 | Train Acc: 0.5746 | Val F1: 0.5393 | Val Acc: 0.5603
Epoch 10/70 | LR: 0.000024 | Train Acc: 0.6152 | Val F1: 0.5182 | Val Acc: 0.5446
Epoch 11/70 | LR: 0.000028 | Train Acc: 0.6108 | Val F1: 0.5301 | Val Acc: 0.5357
Epoch 12/70 | LR: 0.000031 | Train Acc: 0.6563 | Val F1: 0.5423 | Val Acc: 0.6004
Epoch 13/70 | LR: 0.000035 | Train Acc: 0.6374 | Val F1: 0.6216 | Val Acc: 0.6562
Epoch 14/70 | LR: 0.000038 | Train Acc: 0.6942 | Val F1: 0.6215 | Val Acc: 0.6429
Epoch 15/70 | LR: 0.000041 | Train Acc: 0.6641 | Val F1: 0.6363 | Val Acc: 0.6719
Epoch 16/70 | LR: 0.000044 | Train Acc: 0.6955 | Val F1: 0.5765 | Val Acc: 0.5938
Epoch 17/70 | LR: 0.000046 | Train Acc: 0.7379 | Val F1: 0.6549 | Val Acc: 0.6875
Epoch 18/70 | LR: 0.000048 | Train Acc: 0.7281 | Val F1: 0.5832 | Val Acc: 0.6362
Epoch 19/70 | LR: 0.000049 | Train Acc: 0.7290 | Val F1: 0.6422 | Val Acc: 0.6875
Epoch 20/70 | LR: 0.000050 | Train Acc: 0.7747 | Val F1: 0.6362 | Val Acc: 0.6540
Epoch 21/70 | LR: 0.000050 | Train Acc: 0.7801 | Val F1: 0.6309 | Val Acc: 0.6830
Epoch 22/70 | LR: 0.000050 | Train Acc: 0.7651 | Val F1: 0.6269 | Val Acc: 0.6964
Epoch 23/70 | LR: 0.000050 | Train Acc: 0.7909 | Val F1: 0.6552 | Val Acc: 0.7210
Epoch 24/70 | LR: 0.000050 | Train Acc: 0.7943 | Val F1: 0.6263 | Val Acc: 0.6786
Epoch 25/70 | LR: 0.000049 | Train Acc: 0.7974 | Val F1: 0.6218 | Val Acc: 0.6607
Epoch 26/70 | LR: 0.000049 | Train Acc: 0.7489 | Val F1: 0.6667 | Val Acc: 0.7277
Epoch 27/70 | LR: 0.000048 | Train Acc: 0.8084 | Val F1: 0.6751 | Val Acc: 0.7344
Epoch 28/70 | LR: 0.000048 | Train Acc: 0.8058 | Val F1: 0.6560 | Val Acc: 0.7254
Epoch 29/70 | LR: 0.000047 | Train Acc: 0.8257 | Val F1: 0.6582 | Val Acc: 0.7210
Epoch 30/70 | LR: 0.000046 | Train Acc: 0.8010 | Val F1: 0.6571 | Val Acc: 0.7188
Epoch 31/70 | LR: 0.000045 | Train Acc: 0.8298 | Val F1: 0.6481 | Val Acc: 0.7009
