Epoch 1/70 | LR: 0.000001 | Train Acc: 0.1254 | Val F1: 0.0665 | Val Acc: 0.1317
Epoch 2/70 | LR: 0.000002 | Train Acc: 0.1572 | Val F1: 0.0801 | Val Acc: 0.1942
Epoch 3/70 | LR: 0.000003 | Train Acc: 0.2051 | Val F1: 0.1193 | Val Acc: 0.2388
Epoch 4/70 | LR: 0.000004 | Train Acc: 0.2839 | Val F1: 0.1733 | Val Acc: 0.2433
Epoch 5/70 | LR: 0.000005 | Train Acc: 0.3980 | Val F1: 0.2828 | Val Acc: 0.3170
Epoch 6/70 | LR: 0.000007 | Train Acc: 0.4593 | Val F1: 0.4035 | Val Acc: 0.4598
Epoch 7/70 | LR: 0.000008 | Train Acc: 0.5272 | Val F1: 0.4784 | Val Acc: 0.4777
Epoch 8/70 | LR: 0.000010 | Train Acc: 0.5705 | Val F1: 0.5114 | Val Acc: 0.5067
Epoch 9/70 | LR: 0.000012 | Train Acc: 0.5971 | Val F1: 0.6465 | Val Acc: 0.6987
Epoch 10/70 | LR: 0.000015 | Train Acc: 0.6240 | Val F1: 0.6043 | Val Acc: 0.6138
Epoch 11/70 | LR: 0.000017 | Train Acc: 0.6381 | Val F1: 0.6424 | Val Acc: 0.6540
Epoch 12/70 | LR: 0.000019 | Train Acc: 0.6981 | Val F1: 0.6042 | Val Acc: 0.6629
Epoch 13/70 | LR: 0.000021 | Train Acc: 0.6645 | Val F1: 0.5739 | Val Acc: 0.6071
Epoch 14/70 | LR: 0.000023 | Train Acc: 0.7021 | Val F1: 0.6383 | Val Acc: 0.6518
Epoch 15/70 | LR: 0.000025 | Train Acc: 0.7053 | Val F1: 0.6410 | Val Acc: 0.6763
Epoch 16/70 | LR: 0.000026 | Train Acc: 0.7101 | Val F1: 0.6556 | Val Acc: 0.6875
Epoch 17/70 | LR: 0.000028 | Train Acc: 0.7571 | Val F1: 0.6616 | Val Acc: 0.6875
Epoch 18/70 | LR: 0.000029 | Train Acc: 0.7415 | Val F1: 0.6503 | Val Acc: 0.7076
Epoch 19/70 | LR: 0.000029 | Train Acc: 0.7495 | Val F1: 0.6706 | Val Acc: 0.7299
Epoch 20/70 | LR: 0.000030 | Train Acc: 0.7879 | Val F1: 0.6719 | Val Acc: 0.7232
Epoch 21/70 | LR: 0.000030 | Train Acc: 0.7815 | Val F1: 0.6383 | Val Acc: 0.6585
Epoch 22/70 | LR: 0.000030 | Train Acc: 0.7712 | Val F1: 0.6508 | Val Acc: 0.6607
Epoch 23/70 | LR: 0.000030 | Train Acc: 0.8009 | Val F1: 0.6595 | Val Acc: 0.6830
Epoch 24/70 | LR: 0.000030 | Train Acc: 0.8092 | Val F1: 0.6575 | Val Acc: 0.7054
Epoch 25/70 | LR: 0.000030 | Train Acc: 0.7980 | Val F1: 0.7031 | Val Acc: 0.7612
Epoch 26/70 | LR: 0.000029 | Train Acc: 0.7540 | Val F1: 0.6634 | Val Acc: 0.7121
Epoch 27/70 | LR: 0.000029 | Train Acc: 0.8228 | Val F1: 0.6940 | Val Acc: 0.7455
Epoch 28/70 | LR: 0.000029 | Train Acc: 0.8087 | Val F1: 0.6521 | Val Acc: 0.6875
Epoch 29/70 | LR: 0.000028 | Train Acc: 0.8167 | Val F1: 0.6776 | Val Acc: 0.7433
Epoch 30/70 | LR: 0.000028 | Train Acc: 0.8089 | Val F1: 0.6736 | Val Acc: 0.7433
Epoch 31/70 | LR: 0.000027 | Train Acc: 0.8199 | Val F1: 0.6687 | Val Acc: 0.7411
Epoch 32/70 | LR: 0.000026 | Train Acc: 0.8316 | Val F1: 0.6909 | Val Acc: 0.7478
Epoch 33/70 | LR: 0.000026 | Train Acc: 0.8191 | Val F1: 0.6965 | Val Acc: 0.7589
Epoch 34/70 | LR: 0.000025 | Train Acc: 0.8422 | Val F1: 0.6699 | Val Acc: 0.7188
Epoch 35/70 | LR: 0.000024 | Train Acc: 0.8431 | Val F1: 0.6981 | Val Acc: 0.7656
Epoch 36/70 | LR: 0.000024 | Train Acc: 0.8153 | Val F1: 0.6953 | Val Acc: 0.7567
Epoch 37/70 | LR: 0.000023 | Train Acc: 0.8466 | Val F1: 0.6961 | Val Acc: 0.7612
Epoch 38/70 | LR: 0.000022 | Train Acc: 0.8253 | Val F1: 0.6775 | Val Acc: 0.7411
Epoch 39/70 | LR: 0.000021 | Train Acc: 0.8379 | Val F1: 0.6965 | Val Acc: 0.7723
Epoch 40/70 | LR: 0.000020 | Train Acc: 0.8497 | Val F1: 0.7032 | Val Acc: 0.7701
Epoch 41/70 | LR: 0.000019 | Train Acc: 0.8416 | Val F1: 0.6839 | Val Acc: 0.7545
Epoch 42/70 | LR: 0.000018 | Train Acc: 0.8441 | Val F1: 0.6875 | Val Acc: 0.7589
Epoch 43/70 | LR: 0.000017 | Train Acc: 0.8751 | Val F1: 0.6875 | Val Acc: 0.7634
Epoch 44/70 | LR: 0.000016 | Train Acc: 0.8647 | Val F1: 0.7036 | Val Acc: 0.7679
Epoch 45/70 | LR: 0.000015 | Train Acc: 0.8630 | Val F1: 0.6777 | Val Acc: 0.7433
Epoch 46/70 | LR: 0.000015 | Train Acc: 0.8547 | Val F1: 0.6813 | Val Acc: 0.7545
Epoch 47/70 | LR: 0.000014 | Train Acc: 0.8700 | Val F1: 0.6908 | Val Acc: 0.7634
Epoch 48/70 | LR: 0.000013 | Train Acc: 0.8749 | Val F1: 0.6876 | Val Acc: 0.7656
Epoch 49/70 | LR: 0.000012 | Train Acc: 0.8509 | Val F1: 0.6902 | Val Acc: 0.7679
Epoch 50/70 | LR: 0.000011 | Train Acc: 0.8785 | Val F1: 0.6836 | Val Acc: 0.7567
Epoch 51/70 | LR: 0.000010 | Train Acc: 0.8595 | Val F1: 0.6880 | Val Acc: 0.7701
Epoch 52/70 | LR: 0.000009 | Train Acc: 0.8799 | Val F1: 0.6839 | Val Acc: 0.7612
Epoch 53/70 | LR: 0.000008 | Train Acc: 0.8639 | Val F1: 0.6847 | Val Acc: 0.7701
Epoch 54/70 | LR: 0.000007 | Train Acc: 0.8432 | Val F1: 0.6800 | Val Acc: 0.7567
Epoch 55/70 | LR: 0.000006 | Train Acc: 0.8635 | Val F1: 0.6860 | Val Acc: 0.7634
Epoch 56/70 | LR: 0.000006 | Train Acc: 0.8665 | Val F1: 0.6911 | Val Acc: 0.7723
Epoch 57/70 | LR: 0.000005 | Train Acc: 0.8534 | Val F1: 0.6810 | Val Acc: 0.7612
Epoch 58/70 | LR: 0.000004 | Train Acc: 0.8726 | Val F1: 0.6835 | Val Acc: 0.7589
Epoch 59/70 | LR: 0.000004 | Train Acc: 0.8537 | Val F1: 0.6845 | Val Acc: 0.7612
Epoch 60/70 | LR: 0.000003 | Train Acc: 0.8820 | Val F1: 0.6862 | Val Acc: 0.7612
Epoch 61/70 | LR: 0.000002 | Train Acc: 0.8651 | Val F1: 0.6884 | Val Acc: 0.7679
Epoch 62/70 | LR: 0.000002 | Train Acc: 0.8745 | Val F1: 0.6872 | Val Acc: 0.7634
Epoch 63/70 | LR: 0.000001 | Train Acc: 0.8670 | Val F1: 0.6871 | Val Acc: 0.7634
Epoch 64/70 | LR: 0.000001 | Train Acc: 0.8647 | Val F1: 0.6907 | Val Acc: 0.7679
