Epoch 1/70 | LR: 0.000002 | Train Acc: 0.1195 | Val F1: 0.0920 | Val Acc: 0.1540
Epoch 2/70 | LR: 0.000003 | Train Acc: 0.1238 | Val F1: 0.1077 | Val Acc: 0.1942
Epoch 3/70 | LR: 0.000004 | Train Acc: 0.1558 | Val F1: 0.1906 | Val Acc: 0.2634
Epoch 4/70 | LR: 0.000006 | Train Acc: 0.2817 | Val F1: 0.2553 | Val Acc: 0.3348
Epoch 5/70 | LR: 0.000008 | Train Acc: 0.3916 | Val F1: 0.3431 | Val Acc: 0.3571
Epoch 6/70 | LR: 0.000011 | Train Acc: 0.4663 | Val F1: 0.3929 | Val Acc: 0.4308
Epoch 7/70 | LR: 0.000014 | Train Acc: 0.5263 | Val F1: 0.4709 | Val Acc: 0.4688
Epoch 8/70 | LR: 0.000017 | Train Acc: 0.5634 | Val F1: 0.5457 | Val Acc: 0.5692
Epoch 9/70 | LR: 0.000021 | Train Acc: 0.5891 | Val F1: 0.4665 | Val Acc: 0.4509
Epoch 10/70 | LR: 0.000024 | Train Acc: 0.6187 | Val F1: 0.5095 | Val Acc: 0.5112
Epoch 11/70 | LR: 0.000028 | Train Acc: 0.6631 | Val F1: 0.5917 | Val Acc: 0.6049
Epoch 12/70 | LR: 0.000031 | Train Acc: 0.6452 | Val F1: 0.5826 | Val Acc: 0.6317
Epoch 13/70 | LR: 0.000035 | Train Acc: 0.6826 | Val F1: 0.6053 | Val Acc: 0.6317
Epoch 14/70 | LR: 0.000038 | Train Acc: 0.6811 | Val F1: 0.5856 | Val Acc: 0.6027
Epoch 15/70 | LR: 0.000041 | Train Acc: 0.7066 | Val F1: 0.6044 | Val Acc: 0.6317
Epoch 16/70 | LR: 0.000044 | Train Acc: 0.6827 | Val F1: 0.5965 | Val Acc: 0.6183
Epoch 17/70 | LR: 0.000046 | Train Acc: 0.7342 | Val F1: 0.5846 | Val Acc: 0.6205
Epoch 18/70 | LR: 0.000048 | Train Acc: 0.7370 | Val F1: 0.6386 | Val Acc: 0.7076
Epoch 19/70 | LR: 0.000049 | Train Acc: 0.7751 | Val F1: 0.6344 | Val Acc: 0.6719
Epoch 20/70 | LR: 0.000050 | Train Acc: 0.7534 | Val F1: 0.6259 | Val Acc: 0.6853
Epoch 21/70 | LR: 0.000050 | Train Acc: 0.7886 | Val F1: 0.6463 | Val Acc: 0.7054
Epoch 22/70 | LR: 0.000050 | Train Acc: 0.7855 | Val F1: 0.6266 | Val Acc: 0.6473
Epoch 23/70 | LR: 0.000050 | Train Acc: 0.7926 | Val F1: 0.6416 | Val Acc: 0.7031
Epoch 24/70 | LR: 0.000050 | Train Acc: 0.7972 | Val F1: 0.6289 | Val Acc: 0.6540
Epoch 25/70 | LR: 0.000049 | Train Acc: 0.7760 | Val F1: 0.6486 | Val Acc: 0.7165
Epoch 26/70 | LR: 0.000049 | Train Acc: 0.8164 | Val F1: 0.6422 | Val Acc: 0.6518
Epoch 27/70 | LR: 0.000048 | Train Acc: 0.8044 | Val F1: 0.6581 | Val Acc: 0.7031
Epoch 28/70 | LR: 0.000048 | Train Acc: 0.8382 | Val F1: 0.6596 | Val Acc: 0.7210
Epoch 29/70 | LR: 0.000047 | Train Acc: 0.8191 | Val F1: 0.6241 | Val Acc: 0.6652
Epoch 30/70 | LR: 0.000046 | Train Acc: 0.8060 | Val F1: 0.6445 | Val Acc: 0.7188
Epoch 31/70 | LR: 0.000045 | Train Acc: 0.8433 | Val F1: 0.6467 | Val Acc: 0.6964
Epoch 32/70 | LR: 0.000044 | Train Acc: 0.8435 | Val F1: 0.6347 | Val Acc: 0.6875
Epoch 33/70 | LR: 0.000043 | Train Acc: 0.8194 | Val F1: 0.6654 | Val Acc: 0.7121
Epoch 34/70 | LR: 0.000042 | Train Acc: 0.8479 | Val F1: 0.6684 | Val Acc: 0.7210
Epoch 35/70 | LR: 0.000041 | Train Acc: 0.8256 | Val F1: 0.6429 | Val Acc: 0.7031
Epoch 36/70 | LR: 0.000039 | Train Acc: 0.8256 | Val F1: 0.6800 | Val Acc: 0.7478
Epoch 37/70 | LR: 0.000038 | Train Acc: 0.8383 | Val F1: 0.6298 | Val Acc: 0.6830
Epoch 38/70 | LR: 0.000037 | Train Acc: 0.8526 | Val F1: 0.6523 | Val Acc: 0.7232
Epoch 39/70 | LR: 0.000035 | Train Acc: 0.8573 | Val F1: 0.6672 | Val Acc: 0.7433
Epoch 40/70 | LR: 0.000034 | Train Acc: 0.8445 | Val F1: 0.6395 | Val Acc: 0.7054
Epoch 41/70 | LR: 0.000032 | Train Acc: 0.8798 | Val F1: 0.6549 | Val Acc: 0.7344
Epoch 42/70 | LR: 0.000031 | Train Acc: 0.8653 | Val F1: 0.6547 | Val Acc: 0.7254
Epoch 43/70 | LR: 0.000029 | Train Acc: 0.8525 | Val F1: 0.6604 | Val Acc: 0.7344
Epoch 44/70 | LR: 0.000027 | Train Acc: 0.8589 | Val F1: 0.6643 | Val Acc: 0.7299
Epoch 45/70 | LR: 0.000026 | Train Acc: 0.8839 | Val F1: 0.6695 | Val Acc: 0.7433
Epoch 46/70 | LR: 0.000024 | Train Acc: 0.8422 | Val F1: 0.6622 | Val Acc: 0.7344
Epoch 47/70 | LR: 0.000023 | Train Acc: 0.8687 | Val F1: 0.6588 | Val Acc: 0.7143
Epoch 48/70 | LR: 0.000021 | Train Acc: 0.8722 | Val F1: 0.6551 | Val Acc: 0.7165
Epoch 49/70 | LR: 0.000019 | Train Acc: 0.8622 | Val F1: 0.6680 | Val Acc: 0.7254
