Epoch 1/70 | LR: 0.000005 | Train Acc: 0.1422 | Val F1: 0.0576 | Val Acc: 0.2009
Epoch 2/70 | LR: 0.000006 | Train Acc: 0.2181 | Val F1: 0.1955 | Val Acc: 0.2790
Epoch 3/70 | LR: 0.000009 | Train Acc: 0.3615 | Val F1: 0.2939 | Val Acc: 0.3504
Epoch 4/70 | LR: 0.000012 | Train Acc: 0.4335 | Val F1: 0.3528 | Val Acc: 0.3817
Epoch 5/70 | LR: 0.000017 | Train Acc: 0.4751 | Val F1: 0.4346 | Val Acc: 0.4732
Epoch 6/70 | LR: 0.000022 | Train Acc: 0.5099 | Val F1: 0.3861 | Val Acc: 0.3705
Epoch 7/70 | LR: 0.000028 | Train Acc: 0.5426 | Val F1: 0.4553 | Val Acc: 0.4621
Epoch 8/70 | LR: 0.000034 | Train Acc: 0.5901 | Val F1: 0.4230 | Val Acc: 0.4576
Epoch 9/70 | LR: 0.000041 | Train Acc: 0.6054 | Val F1: 0.5375 | Val Acc: 0.5402
Epoch 10/70 | LR: 0.000048 | Train Acc: 0.6287 | Val F1: 0.5824 | Val Acc: 0.6004
Epoch 11/70 | LR: 0.000056 | Train Acc: 0.6380 | Val F1: 0.5409 | Val Acc: 0.5312
Epoch 12/70 | LR: 0.000063 | Train Acc: 0.6378 | Val F1: 0.5332 | Val Acc: 0.5179
Epoch 13/70 | LR: 0.000070 | Train Acc: 0.6686 | Val F1: 0.6260 | Val Acc: 0.6585
Epoch 14/70 | LR: 0.000076 | Train Acc: 0.6461 | Val F1: 0.6152 | Val Acc: 0.6272
Epoch 15/70 | LR: 0.000082 | Train Acc: 0.6920 | Val F1: 0.5402 | Val Acc: 0.5915
Epoch 16/70 | LR: 0.000087 | Train Acc: 0.6607 | Val F1: 0.6015 | Val Acc: 0.6674
Epoch 17/70 | LR: 0.000092 | Train Acc: 0.7033 | Val F1: 0.5387 | Val Acc: 0.5558
Epoch 18/70 | LR: 0.000095 | Train Acc: 0.6945 | Val F1: 0.5575 | Val Acc: 0.5737
Epoch 19/70 | LR: 0.000098 | Train Acc: 0.7407 | Val F1: 0.6180 | Val Acc: 0.6719
Epoch 20/70 | LR: 0.000099 | Train Acc: 0.7417 | Val F1: 0.6028 | Val Acc: 0.6161
Epoch 21/70 | LR: 0.000100 | Train Acc: 0.7416 | Val F1: 0.6168 | Val Acc: 0.6451
Epoch 22/70 | LR: 0.000100 | Train Acc: 0.7597 | Val F1: 0.6041 | Val Acc: 0.6295
Epoch 23/70 | LR: 0.000100 | Train Acc: 0.7460 | Val F1: 0.5545 | Val Acc: 0.6205
Epoch 24/70 | LR: 0.000099 | Train Acc: 0.7502 | Val F1: 0.5920 | Val Acc: 0.6406
Epoch 25/70 | LR: 0.000098 | Train Acc: 0.7436 | Val F1: 0.5971 | Val Acc: 0.6406
Epoch 26/70 | LR: 0.000097 | Train Acc: 0.7708 | Val F1: 0.6180 | Val Acc: 0.6562
Epoch 27/70 | LR: 0.000096 | Train Acc: 0.7683 | Val F1: 0.6144 | Val Acc: 0.6607
Epoch 28/70 | LR: 0.000095 | Train Acc: 0.7901 | Val F1: 0.6199 | Val Acc: 0.6920
