Epoch 1/70 | LR: 0.000002 | Train Acc: 0.1210 | Val F1: 0.0528 | Val Acc: 0.1808
Epoch 2/70 | LR: 0.000003 | Train Acc: 0.1363 | Val F1: 0.0810 | Val Acc: 0.1920
Epoch 3/70 | LR: 0.000004 | Train Acc: 0.1841 | Val F1: 0.1465 | Val Acc: 0.2433
Epoch 4/70 | LR: 0.000006 | Train Acc: 0.2487 | Val F1: 0.1582 | Val Acc: 0.2612
Epoch 5/70 | LR: 0.000008 | Train Acc: 0.3372 | Val F1: 0.2784 | Val Acc: 0.2835
Epoch 6/70 | LR: 0.000011 | Train Acc: 0.3686 | Val F1: 0.3966 | Val Acc: 0.4219
Epoch 7/70 | LR: 0.000014 | Train Acc: 0.4224 | Val F1: 0.3196 | Val Acc: 0.3817
Epoch 8/70 | LR: 0.000017 | Train Acc: 0.4576 | Val F1: 0.4047 | Val Acc: 0.3929
Epoch 9/70 | LR: 0.000021 | Train Acc: 0.4681 | Val F1: 0.4546 | Val Acc: 0.4621
Epoch 10/70 | LR: 0.000024 | Train Acc: 0.4823 | Val F1: 0.4579 | Val Acc: 0.4688
Epoch 11/70 | LR: 0.000028 | Train Acc: 0.5365 | Val F1: 0.4484 | Val Acc: 0.4643
Epoch 12/70 | LR: 0.000031 | Train Acc: 0.5017 | Val F1: 0.5302 | Val Acc: 0.5893
Epoch 13/70 | LR: 0.000035 | Train Acc: 0.5640 | Val F1: 0.5132 | Val Acc: 0.5893
Epoch 14/70 | LR: 0.000038 | Train Acc: 0.5400 | Val F1: 0.4307 | Val Acc: 0.4554
Epoch 15/70 | LR: 0.000041 | Train Acc: 0.5766 | Val F1: 0.5039 | Val Acc: 0.5670
Epoch 16/70 | LR: 0.000044 | Train Acc: 0.6066 | Val F1: 0.5092 | Val Acc: 0.5335
Epoch 17/70 | LR: 0.000046 | Train Acc: 0.5945 | Val F1: 0.5282 | Val Acc: 0.5558
Epoch 18/70 | LR: 0.000048 | Train Acc: 0.5961 | Val F1: 0.4868 | Val Acc: 0.5000
